STATION,SITE_CODE,STNAME,WELL_NAME,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVDATUM,ELEVACC,COUNTY_NAME,BASIN_CODE,BASIN_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO,WDL,COMMENT
01N04E36Q001M,378861N1214818W001,Middle River Barrier well 2W screen 61-81 ft bgs,MRL-2W,37.886055560,-121.481833330,NAD83,"Survey, 1m",6.900,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,81.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=01N04E36Q001M,"01N04E36Q001M is part of a well cluster.  Other wells in the cluster are 01N04E36Q002,3,4M."
01N04E36Q002M,378849N1214822W001,Middle River Barrier well 3W screen 14-34 ft bgs,MRL-3W,37.884861110,-121.482166670,NAD83,"Survey, 1m",-1.000,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,34.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=01N04E36Q002M,"01N04E36Q002M is part of a well cluster.  Other wells in the cluster are 01N04E36Q001,3,4M."
01N04E36Q003M,378860N1214819W001,Middle River Barrier well 2 screen 10-20 ft bgs,MLNO-2,37.886027780,-121.481916670,NAD83,"Survey, 1m",8.600,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,20.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=01N04E36Q003M,"01N04E36Q003M is part of a well cluster.  Other wells in the cluster are 01N04E36Q001,2,4M."
01N04E36Q004M,378850N1214820W001,Middle River Barrier well 1 screen 10-20 ft bgs,MLNO-1,37.885027780,-121.482000000,NAD83,"Survey, 1m",15.900,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,20.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=01N04E36Q004M,"01N04E36Q004M is part of a well cluster.  Other wells in the cluster are 01N04E36Q001,2,3M."
01S04E28F001M,378186N1215443W001,Grant Line Canal Barrier well 2W screen 10-25 ft bgs,GLWL-2W,37.818555560,-121.544333330,NAD83,"Survey, 1m",16.100,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,25.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S04E28F001M,"01S04E28F001M is part of a well cluster.  Other wells in the cluster are 01S04E28F002,3,4M."
01S04E28F002M,378204N1215444W001,Grant Line Canal Barrier well 1W screen 74-89 ft bgs,GLWL-1W,37.820416670,-121.544444440,NAD83,"Survey, 1m",2.200,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,89.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S04E28F002M,"01S04E28F002M is part of a well cluster.  Other wells in the cluster are 01S04E28F001,3,4M."
01S04E28F003M,378186N1215438W001,Grant Line Canal Barrier well 1 screen 15-25 ft bgs,GLNO-1,37.818555560,-121.543805560,NAD83,"Survey, 1m",15.400,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,25.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S04E28F003M,"01S04E28F003M is part of a well cluster.  Other wells in the cluster are 01S04E28F001,2,4M."
01S04E28F004M,378203N1215436W001,Grant Line Canal Barrier well 2 screen 15-25 ft bgs,GLNO-2,37.820333330,-121.543611110,NAD83,"Survey, 1m",19.300,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,25.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S04E28F004M,"01S04E28F004M is part of a well cluster.  Other wells in the cluster are 01S04E28F001,2,3M."
01S04E28P001M,378108N1215426W001,Old River at Tracy Barrier well 5W screen 36-51 ft bgs,ORL-5W,37.810833330,-121.542638890,NAD83,"Survey, 1m",6.700,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,51.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S04E28P001M,"01S04E28P001M is part of a well cluster.  Other wells in the cluster are 01S04E28P002,3,4M."
01S04E28P002M,378103N1215449W001,Old River at Tracy Barrier well 1W screen 86-106 ft bgs,ORL-1W,37.810305560,-121.544888890,NAD83,"Survey, 1m",13.700,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,106.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S04E28P002M,"01S04E28P002M is part of a well cluster.  Other wells in the cluster are 01S04E28P001,3,4M."
