gw_site_id	county_code	well_log_nbr	gw_logid	well_tag_nbr	other_identity_id	other_identity_name	other_identity_description	download_date
12666	KLAM	18	KLAM0000018		'35000018'	USGS OFR 97-197 DESCHUTES	Caldwell, R.R. and Truini, M., 1997, Ground-water and water-chemistry data for the upper Deschutes Basin, Oregon: U.S. Geological Survey Open-File Report 97-197.	10/22/2024
12666	KLAM	18	KLAM0000018		'433500122024001'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
12667	KLAM	19	KLAM0000019		'35000019'	USGS OFR 97-197 DESCHUTES	Caldwell, R.R. and Truini, M., 1997, Ground-water and water-chemistry data for the upper Deschutes Basin, Oregon: U.S. Geological Survey Open-File Report 97-197.	10/22/2024
12667	KLAM	19	KLAM0000019		'433343121574701'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
12669	KLAM	23	KLAM0000023		'35000023'	USGS OFR 97-197 DESCHUTES	Caldwell, R.R. and Truini, M., 1997, Ground-water and water-chemistry data for the upper Deschutes Basin, Oregon: U.S. Geological Survey Open-File Report 97-197.	10/22/2024
12669	KLAM	23	KLAM0000023		'433258121575001'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
12672	KLAM	59	KLAM0000059		'35000059'	USGS OFR 97-197 DESCHUTES	Caldwell, R.R. and Truini, M., 1997, Ground-water and water-chemistry data for the upper Deschutes Basin, Oregon: U.S. Geological Survey Open-File Report 97-197.	10/22/2024
12672	KLAM	59	KLAM0000059		'433555121355801'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
6948	KLAM	136	KLAM0000136		'433231121360301'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
6938	KLAM	138	KLAM0000138		'433152121281301'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
12679	KLAM	153	KLAM0000153		'35000153'	USGS OFR 97-197 DESCHUTES	Caldwell, R.R. and Truini, M., 1997, Ground-water and water-chemistry data for the upper Deschutes Basin, Oregon: U.S. Geological Survey Open-File Report 97-197.	10/22/2024
12679	KLAM	153	KLAM0000153		'433537121310601'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
12687	KLAM	192	KLAM0000192		'35000192'	USGS OFR 97-197 DESCHUTES	Caldwell, R.R. and Truini, M., 1997, Ground-water and water-chemistry data for the upper Deschutes Basin, Oregon: U.S. Geological Survey Open-File Report 97-197.	10/22/2024
12687	KLAM	192	KLAM0000192		'433329121342801'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
12684	KLAM	198	KLAM0000198		'35000198'	USGS OFR 97-197 DESCHUTES	Caldwell, R.R. and Truini, M., 1997, Ground-water and water-chemistry data for the upper Deschutes Basin, Oregon: U.S. Geological Survey Open-File Report 97-197.	10/22/2024
12684	KLAM	198	KLAM0000198		'433354121325301'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
6355	KLAM	458	KLAM0000458		'432633121422001'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
