gw_site_id	gw_logid	record_date	waterlevel_blsd	reviewed_status_description	source_description	purpose_description	download_date
8194	KLAM0010252	2/5/1999 12:00:00 AM	37.72	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/6/1999 12:00:00 AM	37.65	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/7/1999 12:00:00 AM	37.66	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/8/1999 12:00:00 AM	37.64	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/9/1999 12:00:00 AM	37.61	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/10/1999 12:00:00 AM	37.72	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/11/1999 12:00:00 AM	37.69	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/12/1999 12:00:00 AM	37.61	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/13/1999 12:00:00 AM	37.58	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/14/1999 12:00:00 AM	37.56	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/15/1999 12:00:00 AM	37.54	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/16/1999 12:00:00 AM	37.48	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/17/1999 12:00:00 AM	37.50	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/18/1999 12:00:00 AM	37.43	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/19/1999 12:00:00 AM	37.52	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/20/1999 12:00:00 AM	37.40	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/21/1999 12:00:00 AM	37.43	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/22/1999 12:00:00 AM	37.43	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/23/1999 12:00:00 AM	37.37	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/24/1999 12:00:00 AM	37.29	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/25/1999 12:00:00 AM	37.31	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/26/1999 12:00:00 AM	37.30	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/27/1999 12:00:00 AM	37.24	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	2/28/1999 12:00:00 AM	37.18	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/1/1999 12:00:00 AM	37.16	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/2/1999 12:00:00 AM	37.00	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/3/1999 12:00:00 AM	36.97	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/4/1999 12:00:00 AM	36.93	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/5/1999 12:00:00 AM	36.85	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/6/1999 12:00:00 AM	36.76	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/7/1999 12:00:00 AM	36.71	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/8/1999 12:00:00 AM	36.64	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/9/1999 12:00:00 AM	36.65	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/10/1999 12:00:00 AM	36.62	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/11/1999 12:00:00 AM	36.61	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/12/1999 12:00:00 AM	36.57	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/13/1999 12:00:00 AM	36.49	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
