gw_site_id	site_type	gw_logid	gw_wl_county_code	gw_wl_nbr	gw_well_tag_nbr	gw_well_tag_verified_on_well	site_source_organization	site_source_owrd	state_observation_well_nbr	state_observation_well_status	latitude_dec	longitude_dec	site_horizontal_err	lat_long_source	lat_long_datum	lsd_elevation	lsd_accuracy	elevation_datum	lsd_elevation_source	state	county_code	basin_nbr	wm_district	meridian	township	township_char	range	range_char	sctn	qtr160	qtr40	qtr10	qtr2_5	tax_lot	max_depth	max_casing_diameter	primary_use_desc	measured_waterlevel_blsd_count	measured_waterlevel_blsd_current_status	measured_waterlevel_blsd_count_owrd	measured_waterlevel_blsd_current_status_owrd	calc_obs_well_status_combined	calc_obs_well_status_owrd	recorder_waterlevel_mean_daily_blsd_count	recorder_waterlevel_instantaneous_blsd_count	recorder_well	cuttings_count	media_log_count	hydrograph_url	well_log_url	critical_gw_subarea	aquifer	aquifer_system	download_date
12666	WELL	KLAM0000018	KLAM	18			OWRD	GWTR			43.58335474	-122.04573593	100.00	MAP 24K	WGS1984	4795.00	20.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	5	11	WM 	23.00	S	6.00	E	18	NE	NE	SW			79.00	8	RECREATIONAL	2	N	2	N	Obs Well Non-Current	Obs Well Non-Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000018	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=18				10/22/2024
12667	WELL	KLAM0000019	KLAM	19			OWRD	GWTR			43.56195485	-121.96440224	100.00	MAP 24K	WGS1984	4798.00	20.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	5	11	WM 	23.00	S	6.00	E	23	SE	SE	NE					RECREATIONAL	1	N	1	N									https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=19				10/22/2024
12669	WELL	KLAM0000023	KLAM	23			OWRD	GWTR			43.54938361	-121.96522041	100.00	MAP 24K	WGS1984	4810.00	20.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	5	11	WM 	23.00	S	6.00	E	26	SE	NE	SW			91.00	8	DOMESTIC	2	N	2	N	Obs Well Non-Current	Obs Well Non-Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000023	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=23				10/22/2024
12672	WELL	KLAM0000059	KLAM	59			OWRD	GWTR			43.59847332	-121.60067020	100.00	MAP 24K	WGS1984	4291.00	5.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	5	11	WM 	23.00	S	9.00	E	12	NW	SW	NE					DOMESTIC	1	N	1	N									https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=59				10/22/2024
6948	WELL	KLAM0000136	KLAM	136			OWRD	GWTR	1319	Active	43.54183531	-121.60188730	50.00	GPS	WGS1984	4332.00	5.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	5	11	WM 	23.00	S	9.00	E	36	NW	NW	SW		3700	470.00		MUNICIPAL	118	C	118	C	State Obs Well Current	State Obs Well Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000136	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=136				10/22/2024
6938	WELL	KLAM0000138	KLAM	138		False	OWRD	GWTR	1309	Active	43.53112946	-121.47107709	10.00	GPS	WGS1984	4308.00	5.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	5	11	WM 	23.00	S	10.00	E	36	SE	SE	SW			130.00		DOMESTIC	125	C	125	C	State Obs Well Current	State Obs Well Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000138	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=138				10/22/2024
12679	WELL	KLAM0000153	KLAM	153			OWRD	GWTR			43.59355847	-121.51967452	100.00	MAP 24K	WGS1984	4258.00	5.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	5	11	WM 	23.00	S	10.00	E	10	SW	NE	NW			40.00		DOMESTIC	2	N	2	N	Obs Well Non-Current	Obs Well Non-Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000153	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=153				10/22/2024
12687	WELL	KLAM0000192	KLAM	192			OWRD	GWTR			43.55815517	-121.57564803	100.00	MAP 24K	WGS1984	4314.00	5.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	5	11	WM 	23.00	S	10.00	E	30	NW	NE	NE			43.00		DOMESTIC	2	N	2	N	Obs Well Non-Current	Obs Well Non-Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000192	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=192				10/22/2024
12684	WELL	KLAM0000198	KLAM	198			OWRD	GWTR			43.56501435	-121.54937965	100.00	MAP 24K	WGS1984	4286.00	5.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	5	11	WM 	23.00	S	10.00	E	20	SE	NE	NW			42.00		DOMESTIC	2	N	2	N	Obs Well Non-Current	Obs Well Non-Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000198	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=198				10/22/2024
20560	WELL	KLAM0000218	KLAM	218			OWRD	WRIS			43.55332000	-121.52870000	50.00	WR FINAL PROOF MAP	WGS1984	4282.00	5.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	5	11	WM 	23.00	S	10.00	E	28	NE	SE				10.00															https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=218		Quaternary-Late Tertiary Vol & Volcaniclastic Aq	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
8291	WELL	KLAM0000436	KLAM	436			OWRD	WRIS			43.46764540	-121.68864887	500.00	WR APPL MAP	WGS1984	4524.00	5.00	NAVD1988	LIDAR	OR	KLAM	5	11	WM 	24.00	S	9.00	E	30	NE	SW				334.00			21	N			Obs Well Non-Current							https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000436	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=436				10/22/2024
8292	WELL	KLAM0000437	KLAM	437			OWRD	WRIS			43.46811863	-121.68680635	500.00	WR APPL MAP	WGS1984	4556.00	5.00	NAVD1988	LIDAR	OR	KLAM	5	11	WM 	24.00	S	9.00	E	30	NE	SE				365.00			21	C			Obs Well Current							https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000437	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=437				10/22/2024
6355	WELL	KLAM0000458	KLAM	458			OWRD	GWTR	270	Inactive	43.44183572	-121.70660871	100.00	MAP 24K	WGS1984	4471.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	5	11	WM 	25.00	S	8.00	E	1	NE	NE	NW			296.00	12	QUASI-MUNICIPAL	98	C	74	N	State Obs Well Current	State Obs Well Non-Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000458	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=458				10/22/2024
16586	WELL	KLAM0000485	KLAM	485			OWRD	WRIS			42.44136300	-121.29075300	16.00	GPS IPAD	WGS1984	4330.00	5.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	36.00	S	12.00	E	21	NE	NE			8700	358.00	12	IRRIGATION													https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=485		Yonna Formation	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
6379	WELL	KLAM0000496	KLAM	496		False	OWRD	GWTR	296	Inactive	43.22567900	-121.78904600	50.00	GPS	WGS1984	4760.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	27.00	S	8.00	E	20	NE	NE	NW			262.00	10	PUBLIC SUPPLY	63	N	63	N	State Obs Well Non-Current	State Obs Well Non-Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000496	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=496				10/22/2024
15319	WELL	KLAM0000515	KLAM	515			OWRD	GWTR			43.20232937	-121.78134850	50.00	GPS	WGS1984	4751.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	27.00	S	8.00	E	28	SW	NW	SE			247.00	6	DOMESTIC													https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=515				10/22/2024
15641	WELL	KLAM0000519	KLAM	519			USGS	GWTR			43.17793526	-121.78600400	50.00	GPS	WGS1984	4740.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	28.00	S	8.00	E	5						258.00															https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=519				10/22/2024
15125	WELL	KLAM0000521	KLAM	521			OWRD	WRIS			43.14503836	-121.78918087	200.00	WR FINAL PROOF MAP	WGS1984	4665.79	30.00	NGVD1929	DEM 10 METER	OR	KLAM	14	17	WM 	28.00	S	8.00	E	17	SE	NE				167.00	6														https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=521		Yonna Formation	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
6356	WELL	KLAM0000522	KLAM	522			OWRD	GWTR	271	Inactive	43.14384800	-121.79187500	16.00	GPS IPAD	WGS1984	4663.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	28.00	S	8.00	E	17	SE	NW	SE			361.00	12		92	C	92	C	State Obs Well Current	State Obs Well Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000522	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=522		Klamath Volcanics	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
