## U.S. Geological Survey
## Groundwater Periodic and Recorder Sites
##
##              December 09, 2023
##
##==========================================================================================
site_id	agency_cd	site_no	coop_site_no	state_well_nmbr	cdwr_id	station_nm	periodic	recorder	dec_lat_va	dec_long_va	alt_va	alt_acy_va	alt_datum_cd	well_depth_va
20s	10s	20s	15s	20s	30s	30s	10s	10s	16s	16s	12s	10s	16s	16s
413640121124301	USGS	413640121124301				44.00N/07.00E-31L01M	178		41.61124606	-121.2118976	4408	1	NGVD1929	435
413804121581501	USGS	413804121581501				44.00N/01.00W-28G01M	36		41.63438316	-121.97088	4659	10	NGVD29	331
413936121490601	USGS	413936121490601				44.00N/01.00E-13D01M	34		41.65986506	-121.8182398	4495	20	NGVD29	307
414043121155501	USGS	414043121155501				44.00N/06.00E-03P01M	186		41.67885326	-121.2665035	4145	10	NGVD1929	479
414053121104101	USGS	414053121104101				44.00N/07.00E-04M01M	154		41.68149578	-121.1780635	4424	10	NGVD1929	755
414236121584601	USGS	414236121584601				45.00N/01.00W-33D01M	184		41.70987345	-121.9794224	4367	5	NGVD1929	181
414300121302401	USGS	414300121302401				45.00N/04.00E-28A01M	186		41.7171916	-121.5075208	4690	20	NGVD1929	758
414413121100501	USGS	414413121100501				45.00N/07.00E-16Q01M	34		41.73682869	-121.168169	4502	10	NGVD29	690
414531120574701	USGS	414531120574701				45.00N/09.00E-08E01M	28		41.75852469	-120.9629711	4815	5	NGVD29	268
414844121271901	USGS	414844121271901				46.00N/05.00E-19M01M	42	USGS	41.81180777	-121.4565192	4110	10	NGVD1929	105
414931121303401	USGS	414931121303401				46.00N/04.00E-15J01M	26		41.825132	-121.4991926	4051.8	0.1	NGVD29	33.5
414934121332101	USGS	414934121332101				46.00N/04.00E-18J01M	72		41.8258337	-121.5568077	4069.6	0.1	NGVD1929	225.7
415104121232901	USGS	415104121232901				46.00N/05.00E-03P01M	194	USGS	41.85124685	-121.3927008	4057.7	0.1	NGVD1929	80
